Date,Max_Temperature,Avg_Temperature,Min_Temperature,Max_Dew_Point,Avg_Dew_Point,Min_Dew_Point,Max_Humidity,Avg_Humidity,Min_Humidity,Max_Wind_Speed,Avg_Wind_Speed,Min_Wind_Speed,Max_Pressure,Avg_Pressure,Min_Pressure,Total_Precipitation
8/1/2014,34,28.6,26,26,25.3,24,100,83.6,59,20,9.3,0,957.5,955.5,953.6,0
8/2/2014,33,28.9,26,26,25.1,24,100,80.5,66,15,8.8,4,956.5,955.1,953.6,0
8/3/2014,32,27.9,26,26,25.7,25,100,88,70,17,11.1,2,955.5,953.9,952.7,0
8/4/2014,31,27.2,25,26,24.9,24,100,88.1,70,19,9.8,0,954.6,954.2,952.7,0
8/5/2014,30,27.8,25,26,24.9,24,100,85,74,15,8.5,0,956.5,954.9,953.6,0
8/6/2014,31,28,26,27,25.6,25,94,87.2,70,15,8.9,4,955.5,953.6,951.7,0
8/7/2014,29,26.3,25,25,24.6,24,100,91,74,19,10.8,4,955.5,954.2,952.7,0
8/8/2014,28,26.3,24,26,25.2,24,100,93.8,84,17,8.7,0,957.5,955.8,954.6,0
8/9/2014,29,26.4,25,26,25.5,25,100,94.9,84,15,10.1,6,960.3,958.2,956.5,0
8/10/2014,28,25.8,25,27,25,24,100,95,84,13,5.8,0,960.3,958.7,957.5,0
8/11/2014,31,27.4,25,26,24.9,24,100,87,75,15,8.8,2,959.4,957.8,955.5,0
8/12/2014,32,29.1,25,26,25.4,24,100,80.6,70,17,12.5,7,958.4,957.7,956.5,0
8/13/2014,27,26.5,26,23,23,23,83,81,79,22,20.5,19,957.5,957,956.5,0
8/14/2014,31,28.1,25,25,23.3,22,94,75.7,62,33,18.2,7,967,957.5,955.5,0
8/15/2014,31,27.6,25,24,22.8,21,89,75.5,58,26,15.9,9,959.4,958,956.5,0
8/16/2014,30,26.7,25,24,22.8,22,94,79.7,62,13,5.8,0,962.2,960.8,959.4,0
8/17/2014,32,28.6,25,24,23.2,23,89,73.2,59,17,11.8,7,963.2,961.5,959.4,0
8/18/2014,34,30.7,26,24,22.9,22,83,63.6,49,17,9.3,6,965.1,963.5,962.2,0
8/19/2014,35,32,28,23,22.5,21,74,57.6,46,17,12.1,6,966,963.3,961.3,0
8/20/2014,36,31.4,27,22,21.3,20,74,56,39,20,12.9,7,964.1,961.3,959.4,0
8/21/2014,36,30.6,26,22,20.3,18,78,55.6,34,22,11.4,6,969.9,960.4,958.4,0
8/22/2014,36,30.2,0,22,19.4,0,74,50,0,17,9.7,4,962.2,960.9,958.4,0
8/23/2014,37,32.9,28,22,18.9,16,66,45,30,11,6.7,0,963.2,961.6,959.4,0
8/24/2014,37,33,28,22,20,18,70,47.9,34,19,6.9,2,963.2,961.2,959.4,0
8/25/2014,38,32.8,28,22,20.1,16,70,49,27,15,9.6,6,963.2,961.3,959.4,0
8/26/2014,37,31.9,28,22,20.6,17,70,53.1,32,19,9.5,6,962.2,960.4,958.4,0
8/27/2014,36,31.6,27,22,20.4,17,74,52.7,32,17,10.1,6,961.3,959.7,956.5,0
8/28/2014,36,31.2,27,22,21.2,20,70,55.8,39,24,9.3,0,962.2,960.6,958.4,0
8/29/2014,35,30.8,27,24,23,21,79,63.8,46,17,9.8,0,962.2,960,957.5,0
8/30/2014,31,26.1,24,25,23.6,23,94,86.2,66,17,5.2,0,961.3,959.1,957.5,0
8/31/2014,33,28.5,25,25,24.2,22,89,78.3,63,20,11.8,6,958.4,956.9,954.6,0
9/1/2014,30,27.9,26,24,23.5,23,89,77.3,66,22,17.1,11,958.4,956.6,954.6,0
9/2/2014,29,26.3,25,25,24.5,24,94,90,79,20,14.7,9,958.4,956.7,954.6,0
9/3/2014,27,26,25,26,25.1,24,100,94.6,89,19,10.9,6,958.4,956.7,954.6,0
9/4/2014,29,26,25,26,24.6,24,100,92.3,74,19,12.6,6,958.4,955.9,954.6,0
